player,role,PVS,BPI,BoPI,auction_price,value_ratio,valuation
B Sai Sudharsan,Batter,82.92,82.92,,8.25,10.05,Undervalued 💎
CV Varun,Bowler,80.37,,80.37,1.7,47.28,Undervalued 💎
YBK Jaiswal,Batter,80.14,80.14,,14.0,5.72,Premium Value ⭐
N Pooran,Batter,78.77,78.77,,6.0,13.13,Undervalued 💎
SA Yadav,Batter,76.77,76.77,,11.0,6.98,Premium Value ⭐
SP Narine,Allrounder,76.7,64.96,78.45,13.25,5.79,Premium Value ⭐
Abhishek Sharma,Batter,76.52,76.52,32.32,14.0,5.47,Premium Value ⭐
Tilak Varma,Batter,75.96,75.96,,8.0,9.49,Undervalued 💎
CH Gayle,Batter,75.94,75.94,54.99,2.0,37.97,Undervalued 💎
JC Buttler,Batter,74.86,74.86,,15.0,4.99,Premium Value ⭐
Rashid Khan,Allrounder,73.38,63.53,73.23,18.0,4.08,Premium Value ⭐
AD Russell,Allrounder,73.23,80.01,56.46,12.0,6.1,Premium Value ⭐
YS Chahal,Bowler,72.53,,72.53,6.5,11.16,Undervalued 💎
MS Dhoni,Batter,72.23,72.23,,4.0,18.06,Undervalued 💎
RR Pant,Batter,72.21,72.21,,16.0,4.51,Premium Value ⭐
KL Rahul,Batter,71.19,71.19,,14.0,5.08,Overvalued ⚠️
V Kohli,Batter,70.5,70.5,,17.0,4.15,Overvalued ⚠️
Arshdeep Singh,Bowler,70.47,,70.47,4.0,17.62,Budget Pick 🔵
Shubman Gill,Batter,70.12,70.12,,12.5,5.61,Overvalued ⚠️
RA Jadeja,Allrounder,69.27,60.64,67.9,16.0,4.33,Overvalued ⚠️
AR Patel,Allrounder,66.54,58.43,64.65,9.5,7.0,Overvalued ⚠️
RG Sharma,Batter,65.07,65.07,51.79,16.0,4.07,Overvalued ⚠️
DJ Bravo,Allrounder,61.2,56.43,55.96,4.2,14.57,Budget Pick 🔵
R Ashwin,Allrounder,60.66,43.98,67.34,5.0,12.13,Budget Pick 🔵
JJ Bumrah,Allrounder,58.44,23.23,83.65,14.0,4.17,Overvalued ⚠️
TA Boult,Allrounder,58.0,31.4,74.6,8.0,7.25,Budget Pick 🔵
Mohammed Siraj,Allrounder,57.53,29.41,75.66,7.0,8.22,Budget Pick 🔵
HV Patel,Allrounder,57.38,34.5,70.26,8.25,6.96,Budget Pick 🔵
B Kumar,Allrounder,54.64,25.54,73.75,2.4,22.77,Budget Pick 🔵
Kuldeep Yadav,Allrounder,52.59,26.14,69.05,2.0,26.3,Budget Pick 🔵
