batting_rank,striker,innings,balls_faced,runs_scored,fours,sixes,dismissals,strike_rate,batting_avg,boundary_pct,dot_ball_pct,runs_per_innings,consistency_score,matches_30,matches_50,powerplay_strike_rate,middle_strike_rate,death_strike_rate,recent_innings,recent_runs,recent_sr,recent_avg,BPI
1,H Klaasen,53,1105,1829,123,103,43,165.52,42.53,20.45,23.98,34.51,145.66,29,12,129.17,155.15,192.92,39.0,1414.0,173.5,36.26,86.12
2,TH David,51,582,1029,66,75,28,176.8,36.75,24.23,29.9,20.18,124.64,15,2,,133.15,196.51,35.0,659.0,165.16,18.83,83.83
3,PD Salt,40,721,1258,138,67,38,174.48,33.11,28.43,35.78,31.45,113.77,19,12,172.13,178.97,184.21,34.0,1056.0,175.71,31.06,83.19
4,B Sai Sudharsan,48,1426,2115,215,70,43,148.32,49.19,19.99,29.17,44.06,151.88,32,17,137.38,148.13,205.0,35.0,1648.0,147.8,47.09,82.92
5,Naman Dhir,26,321,546,52,29,20,170.09,27.3,25.23,30.53,21.0,121.72,7,2,146.51,158.0,194.07,19.0,392.0,180.65,20.63,82.32
6,T Stubbs,37,579,912,66,44,20,157.51,45.6,19.0,23.66,24.65,119.0,15,5,131.03,118.94,207.23,28.0,709.0,165.27,25.32,82.23
7,YBK Jaiswal,75,1610,2472,295,105,69,153.54,35.83,24.84,38.88,32.96,119.68,37,20,159.53,139.35,209.52,43.0,1619.0,160.14,37.65,80.14
8,AD Russell,114,1525,2655,187,223,92,174.1,28.86,26.89,39.74,23.29,112.57,39,12,241.18,152.12,195.9,33.0,616.0,162.96,18.67,80.01
9,TM Head,45,804,1332,148,63,41,165.67,32.49,26.24,34.83,29.6,106.89,19,9,174.17,147.76,178.57,27.0,941.0,178.9,34.85,79.97
10,Shashank Singh,38,526,843,62,47,20,160.27,42.15,20.72,27.76,22.18,113.76,11,5,136.0,126.48,197.18,28.0,704.0,158.92,25.14,79.38
11,N Pooran,94,1461,2375,163,171,76,162.56,31.25,22.86,35.46,25.27,112.15,37,14,140.91,159.13,174.58,43.0,1381.0,183.16,32.12,78.77
12,RM Patidar,45,833,1349,88,91,42,161.94,32.12,21.49,30.13,29.98,130.72,20,12,117.32,171.12,192.47,27.0,707.0,160.68,26.19,78.54
13,AB de Villiers,170,3411,5181,414,253,125,151.89,41.45,19.55,30.46,30.48,110.31,66,44,120.68,131.29,222.91,,,,,78.51
14,SA Yadav,158,3011,4468,471,172,130,148.39,34.37,21.36,33.81,28.28,121.38,65,32,139.57,143.96,179.74,43.0,1667.0,172.39,38.77,76.77
15,Abhishek Sharma,82,1293,2196,210,129,75,169.84,29.28,26.22,35.03,26.78,93.75,34,14,170.67,172.98,154.33,40.0,1149.0,185.02,28.72,76.52
16,D Brevis,20,350,519,35,37,20,148.29,25.95,20.57,39.14,25.95,130.88,10,2,114.86,148.79,232.14,,,,,76.17
17,Tilak Varma,58,1144,1680,134,81,44,146.85,38.18,18.79,30.94,28.97,134.35,27,9,122.22,135.89,195.1,37.0,1102.0,149.93,29.78,75.96
18,CH Gayle,141,3346,4997,408,359,127,149.34,39.35,22.92,43.81,35.44,106.94,62,38,135.57,156.13,204.58,,,,,75.94
19,JC Buttler,127,2938,4391,439,196,112,149.46,39.21,21.61,36.35,34.57,113.91,55,33,141.57,144.07,192.8,38.0,1289.0,148.67,33.92,74.86
20,V Sehwag,104,1755,2728,334,106,98,155.44,27.84,25.07,37.55,26.23,95.28,35,18,144.16,172.68,208.57,,,,,74.12
21,Ashutosh Sharma,20,260,426,27,30,17,163.85,25.06,21.92,32.31,21.3,111.87,7,2,,134.62,183.33,18.0,393.0,163.75,21.83,74.06
22,P Simran Singh,59,1080,1701,178,88,58,157.5,29.33,24.63,37.87,28.83,111.67,23,13,155.07,159.54,179.55,46.0,1291.0,157.25,28.07,73.92
23,ML Hayden,32,806,1107,121,44,27,137.34,41.0,20.47,41.44,34.59,130.75,17,8,129.65,140.14,192.0,,,,,73.06
24,RR Rossouw,22,308,473,45,25,21,153.57,22.52,22.73,37.66,21.5,96.74,7,2,140.4,148.24,210.26,17.0,420.0,163.42,24.71,73.01
25,C Green,36,588,903,78,42,25,153.57,36.12,20.41,29.42,25.08,104.06,15,4,155.41,139.67,184.92,28.0,707.0,153.7,25.25,72.92
