bowling_rank,bowler,matches,overs,wickets,runs_conceded,economy,avg,wicket_rate,dot_pct,boundary_pct,powerplay_economy,powerplay_dot_pct,powerplay_wickets,middle_economy,middle_dot_pct,middle_wickets,death_economy,death_dot_pct,death_wickets,recent_matches,recent_wickets,recent_economy,recent_dot_pct,BoPI
1,JJ Bumrah,152,585.8,188,4078,6.96,21.69,18.7,42.3,14.45,6.38,52.71,42.0,6.33,41.12,44.0,7.88,33.96,102.0,25.0,38.0,6.23,46.55,83.65
2,CV Varun,89,335.7,107,2515,7.49,23.5,18.82,37.84,14.85,7.67,41.93,15.0,7.26,36.52,74.0,8.25,38.39,18.0,41.0,58.0,7.76,39.96,80.37
3,SP Narine,194,752.7,201,5016,6.66,24.96,22.47,39.64,11.67,6.65,48.18,30.0,6.47,36.56,92.0,7.12,39.07,79.0,40.0,40.0,7.31,34.12,78.45
4,Mohammed Siraj,116,412.3,117,3371,8.18,28.81,21.15,44.06,20.86,7.78,51.15,49.0,7.28,39.04,21.0,9.48,34.23,47.0,43.0,50.0,8.08,45.76,75.66
5,Noor Ahmad,45,161.0,55,1261,7.83,22.93,17.56,34.68,15.32,9.0,40.0,2.0,7.72,32.59,40.0,7.94,43.88,13.0,37.0,48.0,7.73,35.98,75.28
6,TA Boult,122,456.8,144,3738,8.18,25.96,19.03,42.28,20.72,7.11,53.06,72.0,8.66,24.73,16.0,10.34,27.15,56.0,41.0,51.0,8.23,41.5,74.6
7,B Kumar,198,734.7,212,5431,7.39,25.62,20.79,43.65,17.08,6.29,55.52,87.0,8.29,27.73,10.0,8.89,29.35,115.0,44.0,44.0,8.74,40.31,73.75
8,Rashid Khan,144,562.7,166,3972,7.06,23.93,20.34,37.38,12.91,7.5,41.83,15.0,6.7,36.92,109.0,8.27,36.56,42.0,44.0,46.0,8.58,31.39,73.23
9,DE Bollinger,27,96.0,37,661,6.89,17.86,15.57,46.88,15.97,6.76,52.47,11.0,4.67,44.44,3.0,7.23,39.32,23.0,,,,,73.04
10,YS Chahal,179,656.8,228,5108,7.78,22.4,17.29,34.33,14.44,7.74,43.56,18.0,7.49,34.01,144.0,9.04,30.11,66.0,42.0,55.0,8.81,28.88,72.53
11,DW Steyn,95,363.7,97,2393,6.58,24.67,22.49,48.76,15.44,5.92,56.49,34.0,6.31,46.08,13.0,7.95,36.59,50.0,,,,,71.94
12,SL Malinga,122,471.2,170,3176,6.74,18.68,16.63,43.05,14.04,5.88,54.77,37.0,6.98,36.33,25.0,7.47,35.0,108.0,,,,,71.07
13,Arshdeep Singh,89,315.7,105,2752,8.72,26.21,18.04,36.91,21.54,8.34,43.51,40.0,8.69,28.79,14.0,9.27,31.56,51.0,44.0,57.0,9.1,38.14,70.47
14,A Kumble,42,160.8,45,1019,6.34,22.64,21.44,41.14,10.98,4.61,61.11,3.0,6.38,38.84,25.0,7.26,37.72,17.0,,,,,70.41
15,HV Patel,119,411.7,151,3452,8.38,22.86,16.36,34.49,18.5,8.8,39.74,14.0,7.62,33.5,56.0,9.3,33.53,81.0,40.0,54.0,8.97,30.63,70.26
16,SW Tait,21,78.8,23,552,7.01,24.0,20.57,46.93,17.34,6.55,52.63,7.0,7.45,45.26,3.0,7.4,39.33,13.0,,,,,69.64
17,JR Hazlewood,44,164.0,65,1321,8.05,20.32,15.14,45.22,20.43,7.39,51.99,28.0,7.41,41.4,13.0,9.75,33.82,24.0,15.0,25.0,8.51,46.86,69.11
18,Kuldeep Yadav,103,367.0,109,2955,8.05,27.11,20.2,30.97,14.49,7.8,33.33,0.0,8.01,30.55,79.0,8.28,32.68,30.0,39.0,41.0,7.59,31.84,69.05
19,DP Nannes,29,107.7,28,732,6.8,26.14,23.07,47.37,16.1,5.72,57.89,15.0,7.06,36.46,0.0,8.45,35.1,13.0,,,,,68.94
20,M Muralitharan,66,254.7,64,1641,6.44,25.64,23.88,42.08,11.26,6.2,52.03,3.0,6.13,41.45,39.0,7.83,39.27,22.0,,,,,68.51
21,KK Ahmed,76,276.2,91,2374,8.6,26.09,18.21,43.51,22.09,8.01,50.41,38.0,8.18,33.71,16.0,10.24,33.49,37.0,37.0,41.0,8.98,45.76,68.39
22,RJ Harris,37,138.7,45,996,7.18,22.13,18.49,46.88,17.55,6.06,59.15,14.0,7.05,38.64,6.0,9.0,31.75,25.0,,,,,67.9
23,RA Jadeja,232,695.0,176,5220,7.51,29.66,23.69,33.0,13.14,8.08,40.97,6.0,7.32,32.68,140.0,8.61,32.95,30.0,44.0,38.0,7.76,30.43,67.9
24,MF Maharoof,20,70.0,27,492,7.03,18.22,15.56,42.14,14.76,7.11,49.4,8.0,5.76,42.0,9.0,8.76,30.39,10.0,,,,,67.89
25,R Ashwin,217,785.0,187,5452,6.95,29.16,25.19,35.31,11.76,6.87,43.93,50.0,6.79,32.41,101.0,7.84,31.11,36.0,36.0,30.0,7.93,29.14,67.34
26,PP Chawla,191,641.7,192,5026,7.83,26.18,20.05,35.27,15.48,7.65,45.31,21.0,7.75,33.82,132.0,8.54,35.14,39.0,27.0,35.0,8.26,32.29,67.27
27,DL Chahar,98,325.7,89,2574,7.9,28.92,21.96,43.35,20.01,7.77,47.28,67.0,7.79,29.37,8.0,9.22,29.14,14.0,32.0,29.0,8.49,42.3,67.07
28,KH Pandya,140,426.7,102,3121,7.31,30.6,25.1,32.58,13.09,7.66,39.86,17.0,7.1,30.0,69.0,8.22,35.58,16.0,39.0,32.0,7.62,32.78,66.36
29,Mohammed Shami,127,466.7,140,3845,8.24,27.46,20.0,42.32,20.61,7.3,51.76,57.0,8.26,31.75,16.0,10.36,28.55,67.0,26.0,34.0,8.73,44.39,66.2
30,NM Coulter-Nile,38,142.8,48,1054,7.38,21.96,17.85,45.16,18.09,6.82,53.61,15.0,6.6,43.78,11.0,8.98,34.27,22.0,,,,,65.98
31,MA Starc,50,177.3,65,1434,8.09,22.06,16.37,42.48,20.39,8.14,47.46,25.0,7.09,36.36,10.0,8.39,35.51,30.0,24.0,31.0,9.67,40.5,65.9
32,Harshit Rana,32,108.2,40,989,9.14,24.72,16.23,40.37,23.73,9.2,48.3,16.0,8.91,32.32,10.0,9.32,35.67,14.0,30.0,39.0,9.16,40.39,65.71
33,RE van der Merwe,21,73.8,21,486,6.59,23.14,21.1,35.89,9.48,9.0,44.44,3.0,5.96,38.78,11.0,7.71,23.16,7.0,,,,,65.53
34,Sandeep Sharma,141,524.2,151,4111,7.84,27.23,20.83,39.43,17.74,6.87,49.31,64.0,7.77,29.68,24.0,10.06,25.42,63.0,32.0,32.0,8.57,30.81,65.45
35,M Prasidh Krishna,73,276.8,87,2351,8.49,27.02,19.09,41.66,21.61,7.73,49.35,18.0,7.81,38.92,28.0,10.0,35.42,41.0,15.0,25.0,8.08,41.24,65.34
36,MM Patel,63,225.8,74,1647,7.29,22.26,18.31,45.17,17.49,6.8,55.2,29.0,5.98,40.91,22.0,10.05,29.18,23.0,,,,,65.24
37,WD Parnell,33,120.5,35,879,7.29,25.11,20.66,43.15,17.43,6.89,50.54,16.0,6.8,38.33,3.0,8.21,33.77,16.0,,,,,64.82
38,MM Ali,57,142.3,41,1014,7.13,24.73,20.83,35.36,11.71,5.5,50.0,5.0,7.31,33.38,34.0,7.58,35.09,2.0,20.0,17.0,7.94,32.67,64.79
39,M Morkel,70,271.5,77,1995,7.35,25.91,21.16,45.3,17.74,6.64,54.75,36.0,7.44,36.64,10.0,8.92,30.77,31.0,,,,,64.67
40,AR Patel,168,577.5,135,4214,7.3,31.21,25.67,33.82,13.07,7.75,40.06,20.0,7.0,32.2,93.0,8.46,33.51,22.0,39.0,27.0,7.67,33.07,64.65
41,A Nehra,88,318.0,106,2405,7.56,22.69,18.0,43.4,18.45,7.23,50.32,40.0,7.12,36.81,12.0,8.49,32.64,54.0,,,,,64.24
42,RP Singh,82,295.8,90,2218,7.5,24.64,19.72,44.51,18.14,6.78,53.99,35.0,7.76,35.77,10.0,8.74,30.55,45.0,,,,,64.15
43,MJ Santner,35,114.5,30,831,7.26,27.7,22.9,36.1,14.7,8.08,45.51,3.0,6.82,33.75,22.0,8.82,29.41,5.0,19.0,15.0,7.39,34.16,63.97
44,Harbhajan Singh,160,569.3,150,3925,6.89,26.17,22.77,38.41,12.91,6.93,50.58,30.0,6.75,34.89,94.0,8.02,34.43,26.0,,,,,63.87
45,JC Archer,61,236.0,73,1787,7.57,24.48,19.4,45.9,18.29,6.28,58.41,32.0,6.95,43.41,13.0,9.56,30.95,28.0,17.0,13.0,8.82,40.46,63.55
46,Ravi Bishnoi,84,296.2,83,2388,8.06,28.77,21.41,34.67,16.54,8.13,44.93,6.0,7.87,32.82,56.0,9.03,38.87,21.0,39.0,35.0,8.71,32.27,63.43
47,GB Hogg,21,76.3,23,548,7.18,23.83,19.91,37.12,13.1,6.38,56.25,4.0,7.23,33.02,12.0,7.43,41.3,7.0,,,,,63.28
48,S Sreesanth,44,146.7,40,1093,7.45,27.32,22.0,47.27,18.98,6.84,52.46,27.0,7.17,43.1,5.0,10.37,30.88,8.0,,,,,63.25
49,MM Sharma,119,400.5,134,3424,8.55,25.55,17.93,34.79,19.56,7.97,45.8,36.0,7.67,30.76,35.0,9.96,26.77,63.0,33.0,42.0,9.29,26.96,63.18
50,J Botha,34,115.7,25,781,6.75,31.24,27.76,38.62,12.1,7.78,41.15,4.0,6.03,38.38,13.0,7.58,34.91,8.0,,,,,62.88
51,Z Khan,99,366.7,102,2691,7.34,26.38,21.57,42.23,17.09,6.45,51.93,52.0,8.05,30.56,13.0,8.89,27.35,37.0,,,,,62.83
52,PJ Cummins,73,273.5,80,2314,8.46,28.92,20.51,38.21,20.05,8.17,46.19,28.0,7.55,35.0,25.0,9.88,29.14,27.0,30.0,34.0,8.95,36.6,62.69
