striker,powerplay_strike_rate,middle_strike_rate,death_strike_rate,BPI
H Klaasen,129.17,155.15,192.92,86.12
TH David,,133.15,196.51,83.83
PD Salt,172.13,178.97,184.21,83.19
B Sai Sudharsan,137.38,148.13,205.0,82.92
Naman Dhir,146.51,158.0,194.07,82.32
T Stubbs,131.03,118.94,207.23,82.23
YBK Jaiswal,159.53,139.35,209.52,80.14
AD Russell,241.18,152.12,195.9,80.01
TM Head,174.17,147.76,178.57,79.97
Shashank Singh,136.0,126.48,197.18,79.38
N Pooran,140.91,159.13,174.58,78.77
RM Patidar,117.32,171.12,192.47,78.54
AB de Villiers,120.68,131.29,222.91,78.51
SA Yadav,139.57,143.96,179.74,76.77
Abhishek Sharma,170.67,172.98,154.33,76.52
D Brevis,114.86,148.79,232.14,76.17
Tilak Varma,122.22,135.89,195.1,75.96
CH Gayle,135.57,156.13,204.58,75.94
JC Buttler,141.57,144.07,192.8,74.86
V Sehwag,144.16,172.68,208.57,74.12
Ashutosh Sharma,,134.62,183.33,74.06
P Simran Singh,155.07,159.54,179.55,73.92
ML Hayden,129.65,140.14,192.0,73.06
RR Rossouw,140.4,148.24,210.26,73.01
C Green,155.41,139.67,184.92,72.92
MS Dhoni,81.94,100.47,174.97,72.23
RR Pant,118.36,136.29,200.58,72.21
JM Sharma,56.52,142.0,183.88,72.06
LS Livingstone,132.59,137.91,216.98,71.79
RK Singh,142.86,110.78,189.76,71.66
