overall_rank,player,role,innings,runs_scored,strike_rate,batting_avg,consistency_score,recent_sr,BPI,matches,wickets,economy,dot_pct,recent_economy,BoPI,PVS,auction_price,value_ratio,valuation
1,H Klaasen,Batter,53.0,1829.0,165.52,42.53,145.66,173.5,86.12,,,,,,,86.12,,,
2,TH David,Batter,51.0,1029.0,176.8,36.75,124.64,165.16,83.83,,,,,,,83.83,,,
3,PD Salt,Batter,40.0,1258.0,174.48,33.11,113.77,175.71,83.19,,,,,,,83.19,,,
4,B Sai Sudharsan,Batter,48.0,2115.0,148.32,49.19,151.88,147.8,82.92,,,,,,,82.92,8.25,10.05,Undervalued 💎
5,Naman Dhir,Batter,26.0,546.0,170.09,27.3,121.72,180.65,82.32,,,,,,,82.32,,,
6,T Stubbs,Batter,37.0,912.0,157.51,45.6,119.0,165.27,82.23,,,,,,,82.23,,,
7,CV Varun,Bowler,,,,,,,,89.0,107.0,7.49,37.84,7.76,80.37,80.37,1.7,47.28,Undervalued 💎
8,YBK Jaiswal,Batter,75.0,2472.0,153.54,35.83,119.68,160.14,80.14,,,,,,,80.14,14.0,5.72,Premium Value ⭐
9,TM Head,Batter,45.0,1332.0,165.67,32.49,106.89,178.9,79.97,,,,,,,79.97,,,
10,Shashank Singh,Batter,38.0,843.0,160.27,42.15,113.76,158.92,79.38,,,,,,,79.38,,,
11,N Pooran,Batter,94.0,2375.0,162.56,31.25,112.15,183.16,78.77,,,,,,,78.77,6.0,13.13,Undervalued 💎
12,RM Patidar,Batter,45.0,1349.0,161.94,32.12,130.72,160.68,78.54,,,,,,,78.54,,,
13,AB de Villiers,Batter,170.0,5181.0,151.89,41.45,110.31,,78.51,,,,,,,78.51,,,
14,SA Yadav,Batter,158.0,4468.0,148.39,34.37,121.38,172.39,76.77,,,,,,,76.77,11.0,6.98,Premium Value ⭐
15,SP Narine,Allrounder,122.0,1820.0,165.3,18.57,73.92,171.98,64.96,194.0,201.0,6.66,39.64,7.31,78.45,76.7,13.25,5.79,Premium Value ⭐
16,Abhishek Sharma,Batter,82.0,2196.0,169.84,29.28,93.75,185.02,76.52,35.0,11.0,8.93,28.33,9.43,32.32,76.52,14.0,5.47,Premium Value ⭐
17,D Brevis,Batter,20.0,519.0,148.29,25.95,130.88,,76.17,,,,,,,76.17,,,
18,Tilak Varma,Batter,58.0,1680.0,146.85,38.18,134.35,149.93,75.96,,,,,,,75.96,8.0,9.49,Undervalued 💎
19,CH Gayle,Batter,141.0,4997.0,149.34,39.35,106.94,,75.94,38.0,18.0,7.35,35.38,,54.99,75.94,2.0,37.97,Undervalued 💎
20,Noor Ahmad,Bowler,,,,,,,,45.0,55.0,7.83,34.68,7.73,75.28,75.28,,,
21,JC Buttler,Batter,127.0,4391.0,149.46,39.21,113.91,148.67,74.86,,,,,,,74.86,15.0,4.99,Premium Value ⭐
22,V Sehwag,Batter,104.0,2728.0,155.44,27.84,95.28,,74.12,,,,,,,74.12,,,
23,Ashutosh Sharma,Batter,20.0,426.0,163.85,25.06,111.87,163.75,74.06,,,,,,,74.06,,,
24,P Simran Singh,Batter,59.0,1701.0,157.5,29.33,111.67,157.25,73.92,,,,,,,73.92,,,
25,Rashid Khan,Allrounder,69.0,613.0,157.99,13.62,67.69,171.07,63.53,144.0,166.0,7.06,37.38,8.58,73.23,73.38,18.0,4.08,Premium Value ⭐
26,AD Russell,Allrounder,114.0,2655.0,174.1,28.86,112.57,162.96,80.01,121.0,123.0,9.16,35.71,10.34,56.46,73.23,12.0,6.1,Premium Value ⭐
27,ML Hayden,Batter,32.0,1107.0,137.34,41.0,130.75,,73.06,,,,,,,73.06,,,
28,DE Bollinger,Bowler,,,,,,,,27.0,37.0,6.89,46.88,,73.04,73.04,,,
29,RR Rossouw,Batter,22.0,473.0,153.57,22.52,96.74,163.42,73.01,,,,,,,73.01,,,
30,C Green,Batter,36.0,903.0,153.57,36.12,104.06,153.7,72.92,33.0,18.0,8.9,36.55,8.67,50.26,72.92,,,
31,YS Chahal,Bowler,,,,,,,,179.0,228.0,7.78,34.33,8.81,72.53,72.53,6.5,11.16,Undervalued 💎
32,MS Dhoni,Batter,241.0,5439.0,137.45,34.42,125.18,167.64,72.23,,,,,,,72.23,4.0,18.06,Undervalued 💎
33,RR Pant,Batter,131.0,3756.0,146.32,33.24,113.39,146.22,72.21,,,,,,,72.21,16.0,4.51,Premium Value ⭐
34,JM Sharma,Batter,53.0,1053.0,153.95,23.4,126.01,155.12,72.06,,,,,,,72.06,,,
35,LS Livingstone,Batter,49.0,1066.0,155.17,26.0,92.79,150.75,71.79,27.0,13.0,8.85,26.28,8.96,47.28,71.79,,,
36,RK Singh,Batter,58.0,1318.0,144.84,32.15,120.86,150.35,71.66,,,,,,,71.66,,,
37,SS Iyer,Batter,138.0,4044.0,135.84,33.98,119.12,163.53,71.58,,,,,,,71.58,,,
38,Ramandeep Singh,Batter,26.0,299.0,145.85,18.69,114.8,177.32,71.22,,,,,,,71.22,,,
39,KL Rahul,Batter,143.0,5593.0,138.41,45.47,124.71,135.76,71.19,,,,,,,71.19,14.0,5.08,Overvalued ⚠️
40,F du Plessis,Batter,147.0,4773.0,135.79,35.36,128.94,150.72,70.73,,,,,,,70.73,,,
41,V Kohli,Batter,267.0,9022.0,133.88,38.07,124.03,146.55,70.5,,,,,,,70.5,17.0,4.15,Overvalued ⚠️
42,Arshdeep Singh,Bowler,,,,,,,,89.0,105.0,8.72,36.91,9.1,70.47,70.47,4.0,17.62,Budget Pick 🔵
43,A Kumble,Bowler,,,,,,,,42.0,45.0,6.34,41.14,,70.41,70.41,,,
44,Shubman Gill,Batter,121.0,4196.0,139.45,40.74,118.37,154.8,70.12,,,,,,,70.12,12.5,5.61,Overvalued ⚠️
45,Dhruv Jurel,Batter,44.0,928.0,153.64,30.93,94.3,153.85,69.64,,,,,,,69.64,,,
46,SW Tait,Bowler,,,,,,,,21.0,23.0,7.01,46.93,,69.64,69.64,,,
47,M Shahrukh Khan,Batter,52.0,767.0,148.64,23.97,108.52,171.75,69.59,,,,,,,69.59,,,
