player,potm_awards,role,PVS,BPI,BoPI
AB de Villiers,25,Batter,78.51,78.51,
CH Gayle,22,Batter,75.94,75.94,54.99
RG Sharma,21,Batter,65.07,65.07,51.79
V Kohli,20,Batter,70.5,70.5,
MS Dhoni,18,Batter,72.23,72.23,
DA Warner,18,Batter,69.18,69.18,
SP Narine,17,Allrounder,76.7,64.96,78.45
RA Jadeja,17,Allrounder,69.27,60.64,67.9
KL Rahul,16,Batter,71.19,71.19,
SR Watson,16,Allrounder,68.19,65.84,60.54
AD Russell,16,Allrounder,73.23,80.01,56.46
YK Pathan,16,Allrounder,65.99,64.57,57.41
KA Pollard,14,Allrounder,61.73,66.56,46.89
JC Buttler,14,Batter,74.86,74.86,
SK Raina,14,Allrounder,63.5,65.6,51.4
Rashid Khan,13,Allrounder,73.38,63.53,73.23
SV Samson,13,Batter,69.24,69.24,
G Gambhir,13,Batter,57.14,57.14,
Shubman Gill,13,Batter,70.12,70.12,
AM Rahane,13,Batter,62.04,62.04,
S Dhawan,12,Batter,63.65,63.65,
A Mishra,12,Allrounder,50.63,30.09,61.17
MEK Hussey,12,Batter,63.7,63.7,
DR Smith,11,Allrounder,59.24,62.66,45.82
RD Gaikwad,11,Batter,69.14,69.14,
V Sehwag,11,Batter,74.12,74.12,
JJ Bumrah,10,Allrounder,58.44,23.23,83.65
SS Iyer,10,Batter,71.58,71.58,
AT Rayudu,10,Batter,61.63,61.63,
UT Yadav,10,Allrounder,48.2,33.59,52.81
SA Yadav,10,Batter,76.77,76.77,
F du Plessis,10,Batter,70.73,70.73,
JH Kallis,10,Allrounder,58.61,52.65,54.56
GJ Maxwell,9,Allrounder,67.06,68.89,55.23
KH Pandya,9,Allrounder,65.25,54.15,66.36
MP Stoinis,9,Allrounder,59.45,67.95,40.94
SE Marsh,9,Batter,65.83,65.83,
AR Patel,8,Allrounder,66.54,58.43,64.65
RR Pant,8,Batter,72.21,72.21,
HH Pandya,8,Allrounder,64.77,66.47,53.06
Harbhajan Singh,8,Allrounder,64.15,54.43,63.87
SR Tendulkar,8,Batter,60.34,60.34,
RV Uthappa,7,Batter,61.83,61.83,
Sandeep Sharma,7,Allrounder,48.5,21.54,65.45
Ishan Kishan,7,Batter,69.45,69.45,
Kuldeep Yadav,7,Allrounder,52.59,26.14,69.05
CV Varun,7,Bowler,80.37,,80.37
YS Chahal,7,Bowler,72.53,,72.53
TA Boult,7,Allrounder,58.0,31.4,74.6
KD Karthik,7,Batter,67.83,67.83,
Q de Kock,7,Batter,66.77,66.77,
Abhishek Sharma,7,Batter,76.52,76.52,32.32
AC Gilchrist,7,Batter,67.07,67.07,
