season,total_runs,total_balls,total_matches,total_fours,total_sixes,dot_balls,total_wickets,avg_run_rate,avg_match_score,six_rate,dot_ball_pct,season_order
2007/08,16809,13032,58,1703,623,5278,604,7.74,290.0,4.78,40.5,1
2009,15376,13168,57,1321,508,5421,622,7.01,270.0,3.86,41.17,2
2009/10,17754,14000,60,1709,587,5330,630,7.61,296.0,4.19,38.07,3
2011,19928,16508,73,1916,639,6672,739,7.24,273.0,3.87,40.42,4
2012,21323,17270,74,1911,733,6606,772,7.41,288.0,4.24,38.25,5
2013,21487,17699,76,2054,681,7120,832,7.28,283.0,3.85,40.23,6
2014,17943,13900,60,1563,715,5362,606,7.75,299.0,5.14,38.58,7
2015,17427,13202,59,1611,692,5044,626,7.92,295.0,5.24,38.21,8
2016,17962,13667,60,1633,639,4908,591,7.89,299.0,4.68,35.91,9
2017,17920,13440,59,1612,706,4833,652,8.0,304.0,5.25,35.96,10
2018,19098,13847,60,1652,872,4979,662,8.28,318.0,6.3,35.96,11
2019,18607,13915,60,1655,786,5168,643,8.02,310.0,5.65,37.14,12
2020/21,18566,14106,60,1589,736,5100,632,7.9,309.0,5.22,36.15,13
2021,17727,13964,60,1551,687,5266,670,7.62,295.0,4.92,37.71,14
2022,23052,17210,74,2020,1062,6665,850,8.04,312.0,6.17,38.73,15
2023,24428,17237,74,2175,1124,6141,859,8.5,330.0,6.52,35.63,16
2024,24657,16374,71,2175,1261,5666,831,9.04,347.0,7.7,34.6,17
2025,25309,16586,74,2263,1302,5611,832,9.16,342.0,7.85,33.83,18
2026,13688,8876,40,1248,717,3045,459,9.25,342.0,8.08,34.31,19
